inference_time,device,device_details
1.2489476203918457,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2370362281799316,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2528929710388184,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2971739768981934,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.310072660446167,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3466529846191406,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.368988275527954,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2482502460479736,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2675154209136963,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2706875801086426,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2672970294952393,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.413135290145874,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2703220844268799,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2698843479156494,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2923219203948975,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3337252140045166,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.367821455001831,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2903759479522705,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.4311327934265137,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.319958209991455,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3931810855865479,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3188116550445557,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3165862560272217,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
